8.8675 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
8.8680 	INFO 	Loaded monitor calibration from ['2025_03_24 15:28']
8.9870 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002133521A260>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002133521A560>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000213352D6620>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9870 	EXP 	window1: backgroundImage = ''
8.9870 	EXP 	window1: backgroundFit = 'none'
8.9914 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9918 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9922 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9927 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9931 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9934 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9938 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9942 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9944 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9946 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9950 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9956 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9960 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9965 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9969 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9973 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9977 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9980 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9982 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9987 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9989 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
8.9991 	DEBUG 	Uploading Texture Font fontname to graphics card
9.0020 	DEBUG 	Upload of Texture Font fontname complete
9.0053 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0058 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0063 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.0065 	DEBUG 	Uploading Texture Font fontname to graphics card
9.0083 	DEBUG 	Upload of Texture Font fontname complete
9.0093 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
9.0093 	EXP 	window1: recordFrameIntervals = False
9.1767 	EXP 	window1: recordFrameIntervals = True
9.3600 	EXP 	Screen (1) actual frame rate measured at 60.00Hz
9.3600 	EXP 	window1: recordFrameIntervals = False
9.3645 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.3648 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
